identifier,river,location,erected_year,purpose,length,lanes,clear-g,t-or-d,material,span,rel,type
0,1,22,0,1,64,1,1,1,2,2,1,WOOD
20,0,17,1,1,3,1,1,1,2,2,1,WOOD
31,0,33,2,0,3,0,1,1,2,2,1,WOOD
53,0,21,3,1,0,1,1,1,2,2,1,WOOD
64,1,15,4,1,0,1,1,1,2,2,1,WOOD
75,0,19,5,1,63,1,1,1,2,1,1,WOOD
86,0,20,6,0,0,0,1,1,0,2,1,SUSPEN
97,1,22,7,1,22,1,1,1,0,2,1,SUSPEN
1,0,33,8,0,22,0,1,0,2,2,1,WOOD
11,0,21,9,1,0,1,1,1,2,1,1,WOOD
12,0,33,10,2,0,1,1,0,2,1,1,WOOD
14,1,50,11,1,12,1,1,1,2,1,1,WOOD
13,0,26,11,1,12,1,1,1,2,1,1,WOOD
15,0,20,12,2,12,1,1,1,2,1,1,WOOD
16,0,17,13,1,1,1,1,1,0,1,2,SUSPEN
17,1,36,14,2,0,1,1,1,0,1,2,SIMPLE-T
18,0,20,15,2,12,1,1,1,0,2,1,SIMPLE-T
19,0,21,16,1,0,1,1,1,2,1,1,WOOD
21,0,25,17,1,0,1,1,1,2,1,1,WOOD
22,1,7,18,2,0,1,1,1,0,1,1,SIMPLE-T
24,1,0,19,1,14,1,1,1,1,0,0,SUSPEN
23,0,16,19,1,12,2,0,1,2,2,1,WOOD
25,2,42,20,2,12,1,0,1,1,2,1,SIMPLE-T
26,1,1,21,2,12,1,0,1,1,2,1,SIMPLE-T
28,0,33,22,2,12,1,0,1,1,2,0,SIMPLE-T
27,1,3,22,2,9,1,0,1,1,1,1,SIMPLE-T
32,0,24,23,2,9,1,0,1,1,1,0,SIMPLE-T
30,0,18,23,1,6,1,0,1,1,1,0,SUSPEN
29,1,22,23,1,0,1,0,1,1,1,1,ARCH
34,0,23,24,1,0,1,0,1,0,1,0,SIMPLE-T
33,1,52,24,2,11,1,0,1,1,1,1,SIMPLE-T
36,2,38,25,2,52,1,0,1,1,0,0,SIMPLE-T
35,1,10,26,1,8,1,0,1,0,1,0,SIMPLE-T
38,2,42,27,1,8,1,0,1,0,2,0,SIMPLE-T
37,0,19,27,1,0,1,0,1,1,1,0,SIMPLE-T
40,1,8,28,1,0,1,0,1,0,1,0,SIMPLE-T
39,1,9,28,2,18,1,0,1,1,1,1,SIMPLE-T
41,0,17,29,1,18,1,0,1,1,1,0,SIMPLE-T
42,0,19,29,0,7,0,1,1,2,2,1,WOOD
43,1,14,30,1,7,1,0,1,1,1,0,SIMPLE-T
44,1,2,31,1,7,1,0,1,0,1,0,SIMPLE-T
45,1,53,32,1,44,1,0,1,1,0,0,SIMPLE-T
47,2,45,33,1,44,1,0,1,1,0,0,SUSPEN
46,1,51,33,1,4,1,0,1,1,0,0,ARCH
49,0,30,34,2,51,1,0,0,1,0,0,SIMPLE-T
48,1,5,34,2,41,1,0,1,1,0,0,SIMPLE-T
50,1,6,35,2,34,1,0,1,1,1,1,SIMPLE-T
62,0,26,36,1,12,1,0,1,1,1,0,SIMPLE-T
51,0,31,36,1,34,1,0,1,1,1,0,SIMPLE-T
102,1,4,37,2,34,1,0,1,1,0,0,SIMPLE-T
52,0,27,38,1,33,1,0,1,1,1,0,CANTILEV
103,1,7,39,2,15,1,0,1,1,1,1,SIMPLE-T
94,0,28,39,2,49,1,0,1,1,1,1,SIMPLE-T
55,1,50,39,2,20,1,0,1,1,1,0,SIMPLE-T
54,1,13,39,2,10,1,0,1,1,0,0,SIMPLE-T
96,1,36,40,2,12,1,0,1,1,1,2,SIMPLE-T
57,0,20,40,2,61,2,0,1,1,1,2,SIMPLE-T
56,1,11,40,2,23,2,0,1,1,0,0,CANTILEV
58,3,11,41,1,13,2,0,1,1,1,0,SIMPLE-T
60,1,15,42,1,13,2,0,1,1,1,0,SIMPLE-T
59,0,29,42,1,30,1,0,1,1,0,0,SIMPLE-T
61,2,46,43,2,25,1,0,1,1,0,0,CANTILEV
63,2,40,44,1,26,1,0,1,1,0,0,CANTILEV
7,0,33,45,2,26,1,0,1,1,0,0,NIL
100,1,1,45,2,37,1,0,1,1,1,0,SIMPLE-T
66,2,38,46,2,48,1,0,1,1,0,0,SIMPLE-T
65,0,16,46,1,0,2,0,1,1,0,0,SIMPLE-T
67,0,30,47,2,42,1,1,0,1,0,0,CONT-T
68,0,24,48,2,35,1,0,1,1,1,0,SIMPLE-T
70,0,23,49,3,35,1,0,1,1,1,0,SUSPEN
69,0,21,50,1,58,2,0,1,1,1,0,ARCH
71,0,25,51,1,43,2,0,1,1,1,1,ARCH
76,0,19,52,1,55,2,0,1,1,1,2,SUSPEN
74,0,18,52,1,57,2,0,1,1,1,2,SUSPEN
3,2,43,53,1,31,1,0,1,1,0,2,CANTILEV
79,0,31,53,1,24,1,0,1,1,1,1,ARCH
78,1,47,53,1,46,2,1,0,1,1,2,CANTILEV
72,1,0,53,1,17,2,0,1,1,0,0,CANTILEV
81,0,23,54,1,47,2,0,0,1,1,0,ARCH
80,1,12,54,1,39,1,0,0,1,1,2,CANTILEV
77,0,17,54,1,55,2,0,1,1,1,2,SUSPEN
73,1,8,54,1,40,1,0,1,1,1,1,SIMPLE-T
84,2,37,55,1,19,2,0,1,1,0,0,ARCH
83,2,39,55,1,21,2,1,1,1,0,0,ARCH
82,1,50,55,1,22,2,0,1,1,0,0,SUSPEN
101,1,2,56,1,27,2,1,0,1,0,2,CONT-T
85,0,27,57,1,32,2,0,0,1,1,0,CANTILEV
9,0,34,58,1,5,2,0,0,1,1,2,CONT-T
8,0,35,58,2,54,1,0,1,1,1,2,SIMPLE-T
6,0,32,58,1,29,1,1,0,1,1,2,CONT-T
5,2,45,58,1,36,1,0,1,1,0,0,CANTILEV
105,3,49,58,1,36,1,0,1,1,1,1,ARCH
104,3,48,58,2,36,1,0,1,1,1,0,SIMPLE-T
107,1,15,59,1,16,1,0,1,1,1,2,SIMPLE-T
106,1,14,60,1,59,2,0,1,1,1,0,CONT-T
88,1,5,60,1,45,2,0,0,1,0,0,CONT-T
87,1,10,60,1,2,2,0,1,1,0,0,CANTILEV
95,0,30,61,1,42,2,1,0,1,0,0,CONT-T
89,2,39,61,1,53,2,0,1,1,0,0,SIMPLE-T
4,2,44,62,1,28,1,0,1,1,0,0,CONT-T
90,1,0,62,1,0,3,0,1,1,0,0,ARCH
93,0,26,63,1,62,2,0,0,1,1,2,CONT-T
92,1,53,64,1,38,2,0,0,1,0,0,CONT-T
91,0,16,65,1,56,3,0,1,1,1,0,ARCH
99,2,41,66,1,50,3,0,1,1,0,0,ARCH
98,1,51,67,1,60,3,0,1,1,0,0,ARCH
2,2,40,68,1,60,3,0,1,1,0,0,ARCH
10,0,20,69,1,60,3,0,1,1,0,0,ARCH
